Conditions,Disease spread by: Medium ,Time duration,Early symptomps,Rest period,Treatment
Chickenpox,"Coughing, sneezing and contact with weeping blisters",10-20 days,Fever and spots with a blister on top of each spot.,"1 week from appearance of rash, or until all blisters have dried.","Keep yourself from  sun heat and outside atmosphere , if condition severe take painkillers and antibitics"
"Hand, foot and mouth disease","Coughing, sneezing, and poor hand washing.",3-5 days,"Fever, flu-like symptoms – rash on soles and palms and in the mouth.","Exclude until blisters have dried. If blisters able to be covered, and child feeling well, they will not need to be excluded.","Keep yourself from  sun heat and outside atmosphere,if condition severe take painkillers and antibitics"
Head lice,"Direct contact with an infested person’s hair, and less commonly by contact with contaminated surfaces and objects.",N/A,"Itchy scalp, especially behind ears. Occasionally scalp infections that require treatment may develop.","None, but ECC/school should be informed. Treatment recommended to kill eggs and lice.",Clean with clear water everyday
Measles,Coughing and sneezing. Direct contact with an infected person. Highly infectious.,7-21 days,"Runny nose and eyes, cough and fever, followed a few days later by a rash.",5 days after the appearance of rash. Non-immune contacts of a case may be excluded.,"N/A but Fever reducers,
Antibiotics, Vitamin A"
Ringworm,"Contact with infected skin, bedding and clothing.",4-6 weeks,"Flat, ring-shaped rash.","None, but skin contact should be avoided.","prescription antifungal creams, lotions,powders applied to the skin for 2 to 4 week"
Rubella (German Measles),Coughing and sneezing. Also direct contact with an infected person.,14-23 days,"Fever, swollen neck glands and a rash on the face, scalp and body.",Until well and for 7 days from appearance of rash.,"take proper rest, if possible contact your doctor."
Scabies,"Contact with infected skin, bedding and clothing.",4-9 weeks,Itchy rash.,Exclude until the day after appropriate treatment.,apply permethrin cream and malathion lotion
School sores (Impetigo),Direct contact with infected sores.,depends upon the patient,Blisters on the body which burst and turn into scabby sores.,Until sores have dried up or 24 hours after antibiotic treatment has started.,"prescription antibiotic ointments or creams, which need to be reapplied until the sores have completely healed."
Slapped cheek (Human parvovirus infection),Coughing and sneezing. The virus may be passed from mother to child during pregnancy.,4-20 days,Red cheeks and lace-like rash on body.,Unnecessary unless unwell.,paracetamol or ibuprofen 
Campylobacter,"Undercooked food, contaminated water. Direct spread from an infected person or animal.",1-10 days,"Stomach pain, fever, nausea, diarrhoea and/or vomiting.",Until well and for 48 hours after the last episode of diarrhoea or vomiting.,Patients should drink extra fluids as long as diarrhea lasts.
